QUARTERLY SUMMARY

Quarter,Total_Sales,Avg_Product_A,Avg_Product_B,Avg_Product_C,Avg_Product_D
Q1,594,76.0,62.333333333333336,38.0,21.666666666666668
Q2,586,70.66666666666667,54.333333333333336,49.666666666666664,20.666666666666668
Q3,576,81.66666666666667,53.333333333333336,36.0,21.0
Q4,663,85.66666666666667,49.666666666666664,43.666666666666664,42.0


MONTHLY DETAILED DATA

Date,Product_A,Product_B,Product_C,Product_D,Month,Total_Sales,Average_Sales,Month_over_Month_Growth,Quarter,Max_Sales_Product,Min_Sales_Product
2025-01-01,74,74,34,43,January,225,56.25,,Q1,Product_A,Product_C
2025-02-01,61,40,32,10,February,143,35.75,-36.44444444444444,Q1,Product_A,Product_D
2025-03-01,93,73,48,12,March,226,56.5,58.04195804195804,Q1,Product_A,Product_D
2025-04-01,55,80,47,29,April,211,52.75,-6.63716814159292,Q2,Product_B,Product_D
2025-05-01,89,46,51,23,May,209,52.25,-0.9478672985781976,Q2,Product_A,Product_D
2025-06-01,68,37,51,10,June,166,41.5,-20.574162679425832,Q2,Product_A,Product_D
2025-07-01,60,49,41,12,July,162,40.5,-2.409638554216864,Q3,Product_A,Product_D
2025-08-01,99,39,29,15,August,182,45.5,12.34567901234569,Q3,Product_A,Product_D
2025-09-01,86,72,38,36,September,232,58.0,27.472527472527464,Q3,Product_A,Product_D
2025-10-01,86,34,37,41,October,198,49.5,-14.655172413793103,Q4,Product_A,Product_B
2025-11-01,72,55,52,49,November,228,57.0,15.15151515151516,Q4,Product_A,Product_D
2025-12-01,99,60,42,36,December,237,59.25,3.9473684210526327,Q4,Product_A,Product_D
